Gene stable ID	Transcript stable ID	UniProtKB/Swiss-Prot ID	UniProtKB generic accession number (TrEMBL or SwissProt not differentiated) ID	Gene start (bp)	Gene end (bp)
YLR154C-H	YLR154C-H_mRNA	P0CY04	P0CY03	468827	468958
YLR154C-H	YLR154C-H_mRNA	P0CY04	P0CY04	468827	468958
YLR154C-H	YLR154C-H_mRNA	P0CY05	P0CY02	468827	468958
YLR154C-H	YLR154C-H_mRNA	P0CY05	P0CY05	468827	468958
YLR154C-H	YLR154C-H_mRNA	P0CY05	P0CY03	468827	468958
YLR154C-H	YLR154C-H_mRNA	P0CY05	P0CY04	468827	468958
YLR154C-H	YLR154C-H_mRNA	P0CY03	P0CY02	468827	468958
YLR154C-H	YLR154C-H_mRNA	P0CY03	P0CY05	468827	468958
YLR154C-H	YLR154C-H_mRNA	P0CY03	P0CY03	468827	468958
YLR154C-H	YLR154C-H_mRNA	P0CY03	P0CY04	468827	468958
YLR154C-H	YLR154C-H_mRNA	P0CY02	P0CY02	468827	468958
YLR154C-H	YLR154C-H_mRNA	P0CY02	P0CY05	468827	468958
YLR154C-H	YLR154C-H_mRNA	P0CY02	P0CY03	468827	468958
YLR154C-H	YLR154C-H_mRNA	P0CY02	P0CY04	468827	468958
YGL211W	YGL211W_mRNA	P53088	A0A8H4FBG9	92512	93591
YGL211W	YGL211W_mRNA	P53088	P53088	92512	93591
YIL107C	YIL107C_mRNA	P40433	A0A8H4BZ43	163278	165761
YIL107C	YIL107C_mRNA	P40433	P40433	163278	165761
YJL213W	YJL213W_mRNA	P40896	A0A8H4FC26	32163	33158
YJL213W	YJL213W_mRNA	P40896	P40896	32163	33158
YML133W-B	YML133W-B_mRNA	P0CL34	P0CL36	827	1309
YML133W-B	YML133W-B_mRNA	P0CL34	P0CL35	827	1309
YML133W-B	YML133W-B_mRNA	P0CL34	P0CL34	827	1309
YML133W-B	YML133W-B_mRNA	P0CL35	P0CL36	827	1309
YML133W-B	YML133W-B_mRNA	P0CL35	P0CL35	827	1309
YML133W-B	YML133W-B_mRNA	P0CL35	P0CL34	827	1309
YML133W-B	YML133W-B_mRNA	P0CL36	P0CL36	827	1309
YML133W-B	YML133W-B_mRNA	P0CL36	P0CL35	827	1309
YML133W-B	YML133W-B_mRNA	P0CL36	P0CL34	827	1309
YPR204W	YPR204W_mRNA	Q08995	Q08995	944603	947701
YPR204W	YPR204W_mRNA	Q08995	A0A8H4BV96	944603	947701
YBL022C	YBL022C_mRNA	P36775	P36775	177874	181275
YIL150C	YIL150C_mRNA	P32354	A0A8H4FAU9	61013	62728
YIL150C	YIL150C_mRNA	P32354	P32354	61013	62728
YPR103W	YPR103W_mRNA	P30656	P30656	732349	733212
YPR103W	YPR103W_mRNA	P30656	A0A6A5Q5W3	732349	733212
YGR141W	YGR141W_mRNA	P53285	P53285	770569	771972
YIL165C	YIL165C_mRNA	P40446	P40446	33718	34077
YIL165C	YIL165C_mRNA	P40446	A0A8H4FAU4	33718	34077
YDR338C	YDR338C_mRNA	Q05497	A0A8H8UNN7	1147379	1149466
YDR338C	YDR338C_mRNA	Q05497	Q05497	1147379	1149466
YKL061W	YKL061W_mRNA	P35727	A0A6A5PV99	325771	326112
YKL061W	YKL061W_mRNA	P35727	P35727	325771	326112
YOR058C	YOR058C_mRNA	P50275	P50275	433688	436345
YPR155C	YPR155C_mRNA	Q12374	Q12374	835563	837413
YPR155C	YPR155C_mRNA	Q12374	A0A8H4BWI7	835563	837413
YDR526C	YDR526C_mRNA	P87274	P87274	1491075	1491545
YJR046W	YJR046W_mRNA	P47112	A0A8H4C095	522048	523862
YJR046W	YJR046W_mRNA	P47112	P47112	522048	523862
YER084W	YER084W_mRNA	P40057	P40057	327065	327451
YER084W	YER084W_mRNA	P40057	A0A8H8ULV1	327065	327451
YOR270C	YOR270C_mRNA	P32563	A0A6A5Q8D9	828052	830574
YOR270C	YOR270C_mRNA	P32563	P32563	828052	830574
YHR125W	YHR125W_mRNA	P38831	A0A8H4BZN1	358858	359163
YHR125W	YHR125W_mRNA	P38831	P38831	358858	359163
YGL239C	YGL239C_mRNA	P53069	P53069	49431	49745
YDR533C	YDR533C_mRNA	Q04432	A0A6A5PZG2	1501447	1502160
YDR533C	YDR533C_mRNA	Q04432	Q04432	1501447	1502160
YOL154W	YOL154W_mRNA	Q12512	A0A8H4BWM3	34658	35407
YOL154W	YOL154W_mRNA	Q12512	Q12512	34658	35407
YOR115C	YOR115C_mRNA	Q99394	A0A6A5Q6Q5	538659	539465
YOR115C	YOR115C_mRNA	Q99394	Q99394	538659	539465
YDR272W	YDR272W_mRNA	Q05584	A0A8H8UNH4	1009010	1009834
YDR272W	YDR272W_mRNA	Q05584	Q05584	1009010	1009834
YLR247C	YLR247C_mRNA	Q06554	A0A8H4BXI1	628684	633354
YLR247C	YLR247C_mRNA	Q06554	Q06554	628684	633354
YER183C	YER183C_mRNA	P40099	P40099	553334	553969
YER183C	YER183C_mRNA	P40099	A0A8H8UM47	553334	553969
YKL139W	YKL139W_mRNA	Q03957	A0A8H4FAD3	182958	184544
YKL139W	YKL139W_mRNA	Q03957	Q03957	182958	184544
YOL003C	YOL003C_mRNA	Q12006	Q12006	321858	322994
YNL091W	YNL091W_mRNA	P53935	P53935	452408	456130
YNL091W	YNL091W_mRNA	P53935	A0A8H4BW03	452408	456130
YGL097W	YGL097W_mRNA	P21827	P21827	321782	323230
YGL097W	YGL097W_mRNA	P21827	A0A8H4FCU6	321782	323230
YGR030C	YGR030C_mRNA	P53218	P53218	545681	546157
YNL157W	YNL157W_mRNA	P53897	A0A6A5Q5E4	340352	340858
YNL157W	YNL157W_mRNA	P53897	P53897	340352	340858
YDR197W	YDR197W_mRNA	P14905	A0A8H8UNA6	851228	852397
YDR197W	YDR197W_mRNA	P14905	P14905	851228	852397
YEL009C-A	YEL009C-A_mRNA	A0A023PZF2	A0A8H8ULK4	136371	136778
YEL009C-A	YEL009C-A_mRNA	A0A023PZF2	A0A023PZF2	136371	136778
YNL315C	YNL315C_mRNA	P32453	A0A6A5Q3E5	43324	44280
YNL315C	YNL315C_mRNA	P32453	P32453	43324	44280
YDR512C	YDR512C_mRNA	Q04406	A0A8H8UP40	1470500	1471063
YDR512C	YDR512C_mRNA	Q04406	Q04406	1470500	1471063
YOR258W	YOR258W_mRNA	Q08702	A0A8H4BV61	811671	812324
YOR258W	YOR258W_mRNA	Q08702	Q08702	811671	812324
YPL250W-A	YPL250W-A_mRNA	P0C5S0	P0C5S0	75702	75989
YDR489W	YDR489W_mRNA	Q03406	Q03406	1431012	1431896
YDR489W	YDR489W_mRNA	Q03406	A0A8H8UP20	1431012	1431896
YEL059C-A	YEL059C-A_mRNA	Q05676	A0A7I9EDT0	42400	42624
YEL059C-A	YEL059C-A_mRNA	Q05676	Q05676	42400	42624
YOL103W	YOL103W_mRNA	P30606	P30606	124001	125830
YOL103W	YOL103W_mRNA	P30606	A0A8H4BVE0	124001	125830
YLR167W	YLR167W_mRNA	P05759	A0A6A5PU37	498947	499405
YLR167W	YLR167W_mRNA	P05759	P05759	498947	499405
YLR220W	YLR220W_mRNA	P47818	P47818	576825	577793
YLR455W	YLR455W_mRNA	Q06188	A0A6A5PVE5	1053629	1054543
YLR455W	YLR455W_mRNA	Q06188	Q06188	1053629	1054543
YJL020C	YJL020C_mRNA	P47068	P47068	398937	402410
YJL020C	YJL020C_mRNA	P47068	A0A8H4BYR9	398937	402410
YLR282C	YLR282C_mRNA	O13542	O13542	705071	705412
YKL180W	YKL180W_mRNA	P05740	P05740	109269	110129
YOR215C	YOR215C_mRNA	Q12032	A0A8H4BXA3	746725	747282
YOR215C	YOR215C_mRNA	Q12032	Q12032	746725	747282
YDR299W	YDR299W_mRNA	Q06631	A0A8H8UNJ9	1059627	1061231
YDR299W	YDR299W_mRNA	Q06631	Q06631	1059627	1061231
YKL004W	YKL004W_mRNA	P36107	P36107	435580	436785
YKL004W	YKL004W_mRNA	P36107	A0A6A5PVZ0	435580	436785
YDL015C	YDL015C_mRNA	Q99190	Q99190	426002	426934
YDL015C	YDL015C_mRNA	Q99190	A0A8H8UMQ8	426002	426934
YDR304C	YDR304C_mRNA	P35176	A0A6A5Q2W0	1071880	1072557
YDR304C	YDR304C_mRNA	P35176	P35176	1071880	1072557
YNL221C	YNL221C_mRNA	P41812	P41812	231068	233695
YNL221C	YNL221C_mRNA	P41812	A0A8H4BXP7	231068	233695
YHR206W	YHR206W_mRNA	P38889	A0A6A5PYR6	512732	514600
YHR206W	YHR206W_mRNA	P38889	P38889	512732	514600
YML090W	YML090W_mRNA	Q04501	Q04501	90744	91130
YDR271C	YDR271C_mRNA	P87282	P87282	1008395	1008766
YOL095C	YOL095C_mRNA	Q12039	Q12039	139227	141347
YOL095C	YOL095C_mRNA	Q12039	A0A8H4BUH2	139227	141347
YPL244C	YPL244C_mRNA	Q12520	A0A8H4BTJ3	87014	88033
YPL244C	YPL244C_mRNA	Q12520	Q12520	87014	88033
YAL053W	YAL053W_mRNA	P39719	P39719	45899	48250
YAL053W	YAL053W_mRNA	P39719	A0A8H4BYV9	45899	48250
YDL181W	YDL181W_mRNA	P01097	P01097	135179	135436
YDL181W	YDL181W_mRNA	P01097	A0A6A5PYU9	135179	135436
YGR224W	YGR224W_mRNA	P50080	A0A8H8UKW0	942806	944647
YGR224W	YGR224W_mRNA	P50080	P50080	942806	944647
YHR097C	YHR097C_mRNA	P38809	P38809	297385	298609
YLR094C	YLR094C_mRNA	Q12418	A0A8H4BX12	327730	329238
YLR094C	YLR094C_mRNA	Q12418	Q12418	327730	329238
YPR141C	YPR141C_mRNA	P17119	A0A6A5Q2R2	815734	817923
YPR141C	YPR141C_mRNA	P17119	P17119	815734	817923
YGR142W	YGR142W_mRNA	P53286	A0A8H4C2X7	772454	773686
YGR142W	YGR142W_mRNA	P53286	P53286	772454	773686
YML101C	YML101C_mRNA	Q04201	A0A6A5PR27	69735	70088
YML101C	YML101C_mRNA	Q04201	Q04201	69735	70088
YFL064C	YFL064C_mRNA	P43540	P43540	3322	3846
YOL063C	YOL063C_mRNA	Q08226	A0A8H4F7A3	207392	210265
YOL063C	YOL063C_mRNA	Q08226	Q08226	207392	210265
YNR052C	YNR052C_mRNA	P39008	A0A8H4F9C4	719346	720647
YNR052C	YNR052C_mRNA	P39008	P39008	719346	720647
YCR060W	YCR060W_mRNA	P25638	P25638	224399	224734
YCR060W	YCR060W_mRNA	P25638	A0A6V8RV26	224399	224734
YGR186W	YGR186W_mRNA	P41895	A0A8H4C1U9	867774	869981
YGR186W	YGR186W_mRNA	P41895	P41895	867774	869981
YNL061W	YNL061W_mRNA	P40991	P40991	510540	512396
YNL061W	YNL061W_mRNA	P40991	A0A8H4BY31	510540	512396
YOL079W	YOL079W_mRNA	Q08238	Q08238	181057	181455
YDR367W	YDR367W_mRNA	Q06346	Q06346	1212848	1213614
YER172C	YER172C_mRNA	P32639	P32639	529530	536021
YER172C	YER172C_mRNA	P32639	A0A8H8UM35	529530	536021
YHR005C-A	YHR005C-A_mRNA	P87108	P87108	115620	115901
YHR005C-A	YHR005C-A_mRNA	P87108	A0A6L1B4S7	115620	115901
YCR071C	YCR071C_mRNA	P25642	A0A6A5Q4H9	240103	240543
YCR071C	YCR071C_mRNA	P25642	P25642	240103	240543
YOR389W	YOR389W_mRNA	Q08912	Q08912	1074213	1076087
YOR389W	YOR389W_mRNA	Q08912	A0A8H4F7Q0	1074213	1076087
Q0065	Q0065_mRNA	P03878	P03878	13818	21935
YGR181W	YGR181W_mRNA	P53299	A0A6A5PYZ2	858287	858604
YGR181W	YGR181W_mRNA	P53299	P53299	858287	858604
YLR272C	YLR272C_mRNA	Q06156	Q06156	683672	687202
YLR272C	YLR272C_mRNA	Q06156	A0A8H4FBP5	683672	687202
YKL143W	YKL143W_mRNA	P34078	A0A8H4F8Z0	176781	178172
YKL143W	YKL143W_mRNA	P34078	P34078	176781	178172
YNL284C	YNL284C_mRNA	P36520	A0A6A5Q7I3	103134	104102
YNL284C	YNL284C_mRNA	P36520	P36520	103134	104102
YLR264C-A	YLR264C-A_mRNA	Q3E732	Q3E732	673828	673944
YLR264C-A	YLR264C-A_mRNA	Q3E732	A0A8H4BZK8	673828	673944
YDR085C	YDR085C_mRNA	P33304	P33304	614288	616150
YDR085C	YDR085C_mRNA	P33304	A0A8H8UN02	614288	616150
YIL045W	YIL045W_mRNA	P40187	A0A8H4C0A4	271161	272777
YIL045W	YIL045W_mRNA	P40187	P40187	271161	272777
YMR012W	YMR012W_mRNA	Q03690	Q03690	291134	294967
YMR012W	YMR012W_mRNA	Q03690	A0A8H4BYF0	291134	294967
YJL187C	YJL187C_mRNA	P32944	A0A8H4C0S4	76803	79262
YJL187C	YJL187C_mRNA	P32944	P32944	76803	79262
YCR007C	YCR007C_mRNA	P25354	P25354	126011	126730
YCR007C	YCR007C_mRNA	P25354	A0A8H4BUL8	126011	126730
YOR231W	YOR231W_mRNA	P32490	A0A6A5Q3V3	772601	774127
YOR231W	YOR231W_mRNA	P32490	P32490	772601	774127
YHR193C-A	YHR193C-A_mRNA	A0A023PYH5	A0A023PYH5	488653	489027
YJR131W	YJR131W_mRNA	P32906	A0A8H4FAW0	667644	669293
YJR131W	YJR131W_mRNA	P32906	P32906	667644	669293
YDL097C	YDL097C_mRNA	Q12377	Q12377	285391	286695
YDL097C	YDL097C_mRNA	Q12377	A0A6L0YP93	285391	286695
YHR007C	YHR007C_mRNA	P10614	P10614	120091	121683
YHR007C	YHR007C_mRNA	P10614	A0A8H4F9T7	120091	121683
YHR214C-D	YHR214C-D_mRNA	P0CX92	P0CX93	550648	550941
YHR214C-D	YHR214C-D_mRNA	P0CX92	P0CX92	550648	550941
YHR214C-D	YHR214C-D_mRNA	P0CX92	A0A8H4C2C1	550648	550941
YHR214C-D	YHR214C-D_mRNA	P0CX93	P0CX93	550648	550941
YHR214C-D	YHR214C-D_mRNA	P0CX93	P0CX92	550648	550941
YHR214C-D	YHR214C-D_mRNA	P0CX93	A0A8H4C2C1	550648	550941
YIL126W	YIL126W_mRNA	P32597	A0A8H4C1F8	117992	122071
YIL126W	YIL126W_mRNA	P32597	P32597	117992	122071
YGL081W	YGL081W_mRNA	P53156	P53156	357377	358339
YGL081W	YGL081W_mRNA	P53156	A0A8H4FCU9	357377	358339
YMR202W	YMR202W_mRNA	P32352	A0A8H4BWL7	667537	668205
YMR202W	YMR202W_mRNA	P32352	P32352	667537	668205
YOR021C	YOR021C_mRNA	Q12314	A0A8H4BVI0	372798	373439
YOR021C	YOR021C_mRNA	Q12314	Q12314	372798	373439
YGR082W	YGR082W_mRNA	P35180	A0A6A5PX86	644044	644595
YGR082W	YGR082W_mRNA	P35180	P35180	644044	644595
YOR139C	YOR139C_mRNA	Q08532	Q08532	586950	587342
YPR156C	YPR156C_mRNA	Q06451	A0A8H4BUK2	837909	839777
YPR156C	YPR156C_mRNA	Q06451	Q06451	837909	839777
YMR083W	YMR083W_mRNA	P07246	M4WH69	434788	435915
YMR083W	YMR083W_mRNA	P07246	P07246	434788	435915
YAL031W-A	YAL031W-A_mRNA	A0A023PZ94	A0A023PZ94	84669	84977
YPL240C	YPL240C_mRNA	P02829	A0A6A5Q4M3	96496	98625
YPL240C	YPL240C_mRNA	P02829	P02829	96496	98625
YNR040W	YNR040W_mRNA	P53736	A0A8H4BWV7	699690	700460
YNR040W	YNR040W_mRNA	P53736	P53736	699690	700460
YPR188C	YPR188C_mRNA	Q06580	Q06580	911988	912479
YPR188C	YPR188C_mRNA	Q06580	A0A6L1A0F7	911988	912479
YFL015C	YFL015C_mRNA	P43578	A0A8H8UL68	106469	106963
YFL015C	YFL015C_mRNA	P43578	P43578	106469	106963
YHR212W-A	YHR212W-A_mRNA	P0CX90	A0A8H4BZZ0	538742	538945
YHR212W-A	YHR212W-A_mRNA	P0CX90	P0CX90	538742	538945
YHR212W-A	YHR212W-A_mRNA	P0CX90	P0CX91	538742	538945
YHR212W-A	YHR212W-A_mRNA	P0CX91	A0A8H4BZZ0	538742	538945
YHR212W-A	YHR212W-A_mRNA	P0CX91	P0CX90	538742	538945
YHR212W-A	YHR212W-A_mRNA	P0CX91	P0CX91	538742	538945
YGL028C	YGL028C_mRNA	P53189	P53189	441281	442909
YGL028C	YGL028C_mRNA	P53189	A0A8H4FCV6	441281	442909
YDL139C	YDL139C_mRNA	Q12334	A0A8H8UMF5	211375	212046
YDL139C	YDL139C_mRNA	Q12334	Q12334	211375	212046
YJL133W	YJL133W_mRNA	P10566	A0A6A5PUB0	160619	161563
YJL133W	YJL133W_mRNA	P10566	P10566	160619	161563
YKL062W	YKL062W_mRNA	P33749	A0A8H4FBY5	323228	325120
YKL062W	YKL062W_mRNA	P33749	P33749	323228	325120
YFL011W	YFL011W_mRNA	P43581	P43581	112345	113985
YFL011W	YFL011W_mRNA	P43581	A0A8H8UL72	112345	113985
YPL111W	YPL111W_mRNA	P00812	P00812	339944	340945
YHR184W	YHR184W_mRNA	P38871	P38871	472744	474459
YHR184W	YHR184W_mRNA	P38871	A0A8H4C260	472744	474459
YOR120W	YOR120W_mRNA	P14065	A0A8H4BWZ3	551114	552052
YOR120W	YOR120W_mRNA	P14065	P14065	551114	552052
YPR119W	YPR119W_mRNA	P24869	P24869	771653	773128
YPR119W	YPR119W_mRNA	P24869	A0A6A5Q378	771653	773128
YNL246W	YNL246W_mRNA	P53853	P53853	185460	186349
YFR017C	YFR017C_mRNA	P43598	A0A8H8ULA0	182274	182861
YFR017C	YFR017C_mRNA	P43598	P43598	182274	182861
YLR338W	YLR338W_mRNA	O94084	O94084	804346	805203
YCL012C	YCL012C_mRNA	Q8J0M4	Q8J0M4	101317	101788
YJL086C	YJL086C_mRNA	P47028	P47028	272478	272846
YBR243C	YBR243C_mRNA	P07286	A0A6A5Q258	705447	706793
YBR243C	YBR243C_mRNA	P07286	P07286	705447	706793
YGL021W	YGL021W_mRNA	P43633	P43633	454785	457067
YGL021W	YGL021W_mRNA	P43633	A0A8H4C1F3	454785	457067
YDR200C	YDR200C_mRNA	Q03944	Q03944	854279	856093
YDR200C	YDR200C_mRNA	Q03944	A0A8H8UNA8	854279	856093
YBR234C	YBR234C_mRNA	P38328	A0A8H4BTD8	685438	686592
YBR234C	YBR234C_mRNA	P38328	P38328	685438	686592
YJR053W	YJR053W_mRNA	P47113	P47113	534027	535751
YDR191W	YDR191W_mRNA	P53688	P53688	842337	843449
YDR191W	YDR191W_mRNA	P53688	A0A8H8UNA0	842337	843449
YDR451C	YDR451C_mRNA	Q04116	A0A8H8UNY5	1361120	1362181
YDR451C	YDR451C_mRNA	Q04116	Q04116	1361120	1362181
YGL110C	YGL110C_mRNA	P53137	P53137	301537	303411
YGL110C	YGL110C_mRNA	P53137	A0A8H4C075	301537	303411
YJR044C	YJR044C_mRNA	P47111	A0A6A5PTX7	518763	519185
YJR044C	YJR044C_mRNA	P47111	P47111	518763	519185
YGR167W	YGR167W_mRNA	P17891	A0A8H4C1W1	832456	833157
YGR167W	YGR167W_mRNA	P17891	P17891	832456	833157
YGL017W	YGL017W_mRNA	P16639	P16639	459854	461365
YGL017W	YGL017W_mRNA	P16639	A0A8H4C2T6	459854	461365
YLR181C	YLR181C_mRNA	Q06263	Q06263	516678	517670
YLR181C	YLR181C_mRNA	Q06263	A0A8H4BX99	516678	517670
YBR179C	YBR179C_mRNA	P38297	P38297	586547	589114
YBR179C	YBR179C_mRNA	P38297	A0A8H4F7Z1	586547	589114
YBR247C	YBR247C_mRNA	P38333	P38333	713004	714455
YBR247C	YBR247C_mRNA	P38333	A0A8H4BTD0	713004	714455
YOL038W	YOL038W_mRNA	P40303	A0A6A5Q273	255337	256101
YOL038W	YOL038W_mRNA	P40303	P40303	255337	256101
YOR023C	YOR023C_mRNA	Q12433	A0A6V8S035	376012	377712
YOR023C	YOR023C_mRNA	Q12433	Q12433	376012	377712
YJR100C	YJR100C_mRNA	P47140	A0A6V8RS15	616351	617334
YJR100C	YJR100C_mRNA	P47140	P47140	616351	617334
YOL124C	YOL124C_mRNA	Q12463	A0A8H4FA24	85456	86757
YOL124C	YOL124C_mRNA	Q12463	Q12463	85456	86757
YOR212W	YOR212W_mRNA	P18851	A0A6A5Q727	742910	744181
YOR212W	YOR212W_mRNA	P18851	P18851	742910	744181
YDR469W	YDR469W_mRNA	Q03323	Q03323	1399015	1399542
YDR469W	YDR469W_mRNA	Q03323	A0A8H8UP02	1399015	1399542
YMR017W	YMR017W_mRNA	Q04359	A0A8H4F865	307489	308682
YMR017W	YMR017W_mRNA	Q04359	Q04359	307489	308682
YDR470C	YDR470C_mRNA	Q03327	Q03327	1399706	1401214
YDR470C	YDR470C_mRNA	Q03327	A0A8H8UP03	1399706	1401214
YIL158W	YIL158W_mRNA	P40451	A0A8H4C1D9	46201	46815
YIL158W	YIL158W_mRNA	P40451	P40451	46201	46815
YBR124W	YBR124W_mRNA	P38269	P38269	486507	486866
YLR458W	YLR458W_mRNA	A0A023PZK9	A0A023PZK9	1056455	1056835
YML085C	YML085C_mRNA	P09733	P09733	97941	99400
YOL013W-A	YOL013W-A_mRNA	P0C272	P0C272	301047	301238
YPL192C	YPL192C_mRNA	Q08931	Q08931	182655	183056
YPL192C	YPL192C_mRNA	Q08931	A0A7I9C6M6	182655	183056
YNL097W-A	YNL097W-A_mRNA	Q8TGL8	Q8TGL8	441431	441586
YBL086C	YBL086C_mRNA	P38177	P38177	61202	62602
YBL086C	YBL086C_mRNA	P38177	A0A8H4F7L8	61202	62602
YDR105C	YDR105C_mRNA	Q12116	Q12116	665349	666770
YDR105C	YDR105C_mRNA	Q12116	A0A6L0YS15	665349	666770
YGR156W	YGR156W_mRNA	P39927	P39927	800546	801823
YGR156W	YGR156W_mRNA	P39927	A0A6A5PZD3	800546	801823
YDR483W	YDR483W_mRNA	P27809	P27809	1421157	1422485
YDR483W	YDR483W_mRNA	P27809	A0A8H8UP14	1421157	1422485
YKL172W	YKL172W_mRNA	P36049	P36049	125759	127042
YKL172W	YKL172W_mRNA	P36049	A0A8H4BY00	125759	127042
YML013W	YML013W_mRNA	Q04228	A0A8H4BXL9	244149	245903
YML013W	YML013W_mRNA	Q04228	Q04228	244149	245903
YOL120C	YOL120C_mRNA	P0CX49	P0CX50	93395	94402
YOL120C	YOL120C_mRNA	P0CX49	P0CX49	93395	94402
YOL120C	YOL120C_mRNA	P0CX50	P0CX50	93395	94402
YOL120C	YOL120C_mRNA	P0CX50	P0CX49	93395	94402
YER092W	YER092W_mRNA	P40060	P40060	342855	343232
YER092W	YER092W_mRNA	P40060	A0A6A5PX97	342855	343232
YGR291C	YGR291C_mRNA	P53340	P53340	1076283	1076504
YOR181W	YOR181W_mRNA	Q12446	A0A8H4BVX7	675939	677840
YOR181W	YOR181W_mRNA	Q12446	Q12446	675939	677840
YDL123W	YDL123W_mRNA	Q07549	A0A6A5PXV2	241418	241840
YDL123W	YDL123W_mRNA	Q07549	Q07549	241418	241840
YGR197C	YGR197C_mRNA	P46950	P46950	892497	894140
YGR197C	YGR197C_mRNA	P46950	A0A6A5PW76	892497	894140
YBL065W	YBL065W_mRNA	P38188	P38188	99963	100307
YIR018W	YIR018W_mRNA	P40574	A0A8H4BZG4	384609	385346
YIR018W	YIR018W_mRNA	P40574	P40574	384609	385346
YPL059W	YPL059W_mRNA	Q02784	A0A6A5Q725	444579	445031
YPL059W	YPL059W_mRNA	Q02784	Q02784	444579	445031
YPL218W	YPL218W_mRNA	P20606	P20606	138698	139409
YBR227C	YBR227C_mRNA	P38323	P38323	673572	675134
YBR227C	YBR227C_mRNA	P38323	A0A8H4F805	673572	675134
YJR012C	YJR012C_mRNA	P47087	A0A8H4BZQ8	459795	460418
YDL199C	YDL199C_mRNA	Q12407	A0A8H8UMA2	101290	103353
YDL199C	YDL199C_mRNA	Q12407	Q12407	101290	103353
YIR039C	YIR039C_mRNA	P40583	A0A8H4F9R8	430498	432111
YIR039C	YIR039C_mRNA	P40583	P40583	430498	432111
YMR224C	YMR224C_mRNA	P32829	A0A8H4F9L3	718575	720653
YMR224C	YMR224C_mRNA	P32829	P32829	718575	720653
YGR041W	YGR041W_mRNA	P53226	P53226	577487	579130
YKR014C	YKR014C_mRNA	P36018	A0A6A5PXQ5	465367	466071
YKR014C	YKR014C_mRNA	P36018	P36018	465367	466071
YGL079W	YGL079W_mRNA	P53158	A0A6A5PWJ5	359444	360100
YGL079W	YGL079W_mRNA	P53158	P53158	359444	360100
YLR180W	YLR180W_mRNA	P10659	P10659	515262	516410
YLR180W	YLR180W_mRNA	P10659	A0A6A5PQV9	515262	516410
YAL019W	YAL019W_mRNA	P31380	P31380	114919	118314
YAL019W	YAL019W_mRNA	P31380	A0A8H4F997	114919	118314
YNL121C	YNL121C_mRNA	P07213	A0A8H4BXV7	398684	400537
YNL121C	YNL121C_mRNA	P07213	P07213	398684	400537
YBR218C	YBR218C_mRNA	P32327	P32327	658707	662249
YBR218C	YBR218C_mRNA	P32327	A0A8H4BVC4	658707	662249
YLR250W	YLR250W_mRNA	P39931	A0A6A5PR14	640317	641021
YLR250W	YLR250W_mRNA	P39931	P39931	640317	641021
YCR081C-A	YCR081C-A_mRNA	Q8TGQ0	Q8TGQ0	258415	258651
YKL149C	YKL149C_mRNA	P24309	P24309	167612	168829
YKL149C	YKL149C_mRNA	P24309	A0A8H4C021	167612	168829
YBR244W	YBR244W_mRNA	P38143	P38143	707528	708016
YBR244W	YBR244W_mRNA	P38143	A0A8H4BVM1	707528	708016
YFL018C	YFL018C_mRNA	P09624	A0A8H8UL64	101628	103127
YFL018C	YFL018C_mRNA	P09624	P09624	101628	103127
YLR222C-A	YLR222C-A_mRNA	P0C5P7	P0C5P7	582006	582236
YOR333C	YOR333C_mRNA	Q08789	Q08789	944541	944957
YAL024C	YAL024C_mRNA	P07866	P07866	101565	105872
YAL024C	YAL024C_mRNA	P07866	A0A8H4BZ13	101565	105872
Q0080	Q0080_mRNA	P00856	P00856	27666	27812
Q0080	Q0080_mRNA	P00856	A0A0G3F1I9	27666	27812
YGL107C	YGL107C_mRNA	P53140	A0A8H4C037	304333	306273
YGL107C	YGL107C_mRNA	P53140	P53140	304333	306273
YMR059W	YMR059W_mRNA	Q04675	Q04675	391099	391485
YMR059W	YMR059W_mRNA	Q04675	A0A8H4BWJ4	391099	391485
YDR505C	YDR505C_mRNA	P50896	P50896	1456695	1459220
YDR505C	YDR505C_mRNA	P50896	A0A6A5Q3D8	1456695	1459220
YDL045W-A	YDL045W-A_mRNA	O75012	O75012	372248	372535
YDL045W-A	YDL045W-A_mRNA	O75012	A0A8H8UMN5	372248	372535
YGL168W	YGL168W_mRNA	P45820	P45820	187464	187796
YGL168W	YGL168W_mRNA	P45820	A0A8H4C1T9	187464	187796
YMR072W	YMR072W_mRNA	Q02486	A0A6A5PPL4	411569	412120
YMR072W	YMR072W_mRNA	Q02486	Q02486	411569	412120
YDL045C	YDL045C_mRNA	P38913	P38913	372688	373608
YDL045C	YDL045C_mRNA	P38913	A0A8H8UMN6	372688	373608
YPL264C	YPL264C_mRNA	Q08980	A0A8H4BUH0	43283	44344
YPL264C	YPL264C_mRNA	Q08980	Q08980	43283	44344
YBR160W	YBR160W_mRNA	P00546	P00546	560078	560974
YBR160W	YBR160W_mRNA	P00546	A0A6A5Q506	560078	560974
YMR304W	YMR304W_mRNA	P50101	A0A8H4BWZ7	874987	878679
YMR304W	YMR304W_mRNA	P50101	P50101	874987	878679
YML087C	YML087C_mRNA	Q04516	Q04516	94431	95369
YMR195W	YMR195W_mRNA	Q04329	A0A8H4BXK4	654034	654417
YMR195W	YMR195W_mRNA	Q04329	Q04329	654034	654417
YIL082W	YIL082W_mRNA	Q99219	Q99219	205635	206507
